Ticker,time,open,high,low,close,volume,is_ipo,sma_20,sma_50,rsi_14,roc_3,vol_sma_20,common_0_sig,signal,Return_3D_pct,Return_5D_pct,Return_10D_pct,Return_20D_pct
MWG,2022-11-24,37970.0,37970.0,36520.0,36520.0,7868880,False,42561.0,52510.6,30.02447484633155,-7.2625698324022325,3819162.65,1,1,13.526834611171962,16.840087623220153,22.015334063526833,23.357064622124863
MWG,2023-01-16,40730.0,40980.0,40400.0,40590.0,1410393,False,42361.5,42106.8,39.17787924740853,-1.5283842794759805,1848354.35,1,1,8.81990638088199,10.248829761024883,12.540034491254005,5.71569352057157
MWG,2023-03-23,36420.0,36760.0,36330.0,36620.0,1239092,False,38289.5,40996.4,34.25087771717133,-0.7856949336223273,1607532.65,1,1,3.440742763517204,2.102676133260513,3.440742763517204,6.881485527034408
MWG,2023-04-25,37390.0,37590.0,36330.0,36520.0,2737524,False,38367.0,38785.6,36.19153958879731,-6.69391926417987,2653909.3,1,1,3.9704271631982473,0.2738225629791895,3.450164293537788,1.3417305585980284
PLX,2022-06-21,34460.0,35550.0,33800.0,34240.0,533000,False,37928.5,39704.8,35.15724144898307,-7.2338119750745005,1347425.0,1,1,4.614485981308411,7.155373831775701,2.949766355140187,7.943925233644859
PLX,2022-10-26,24360.0,24980.0,24230.0,24360.0,627605,False,28348.0,32628.4,20.34512813482189,-11.898734177215186,1168125.95,1,1,2.70935960591133,5.582922824302135,8.579638752052546,0.12315270935960591
PLX,2022-11-15,23340.0,23790.0,22560.0,22560.0,1350183,False,25660.5,29152.2,26.60527377851415,-8.700930797248073,907533.45,1,1,1.8173758865248226,6.294326241134751,20.079787234042552,27.349290780141843
PLX,2024-10-03,43250.0,43450.0,42820.0,42960.0,1304592,False,43924.5,45451.4,38.185594765862454,-0.23223409196470035,1128803.8,1,1,0.5586592178770949,0.23277467411545624,-4.8417132216014895,-7.425512104283054
PLX,2025-10-20,33500.0,33500.0,32500.0,32700.000000000004,2222300,False,34080.0,35584.0,25.714065331244658,-2.9673590504450953,1326310.0,1,1,4.740061162079499,4.4342507645259825,4.892966360856257,6.116207951070325
POW,2022-05-13,10210.0,10370.0,9460.0,9460.0,19896800,False,11057.5,12566.4,28.59099716762551,-13.921747042766153,12441265.0,1,1,10.570824524312897,11.839323467230443,16.596194503171247,31.07822410147992
POW,2022-10-24,8640.0,8720.0,8060.000000000001,8170.0,11415697,False,9317.5,10617.2,28.738636917713862,-10.121012101210125,9922825.0,1,1,5.263157894736842,4.651162790697675,-0.9791921664626682,4.16156670746634
POW,2022-11-07,8100.0,8220.0,8050.000000000001,8090.0,6364340,False,8588.5,9991.6,30.86190010614959,-4.033214709371292,8038356.9,1,1,4.697156983930779,5.19159456118665,5.19159456118665,17.428924598269468
POW,2022-11-15,8350.0,8390.0,7920.0,7920.0,13384057,False,8486.5,9622.6,37.098872812454054,-6.493506493506496,8202248.15,1,1,5.42929292929293,7.954545454545454,17.929292929292927,18.939393939393938
POW,2023-10-31,9010.0,9050.0,8760.0,8760.0,5346479,False,9222.0,9876.0,31.685979529876025,-1.903695408734607,4803714.65,1,1,4.680365296803653,5.251141552511415,11.757990867579908,6.621004566210045
POW,2024-11-19,9380.0,9420.0,9260.0,9260.0,3540200,False,9687.0,10195.6,26.969914624744813,-2.5263157894736876,4403346.85,1,1,1.7278617710583155,10.259179265658748,12.958963282937367,10.259179265658748
POW,2025-01-22,9460.0,9550.0,9340.0,9340.0,3799615,False,9732.0,9902.4,34.98078496979342,-3.810504634397527,3557844.55,1,1,2.2483940042826553,3.961456102783726,5.353319057815846,7.066381156316917
SAB,2021-05-21,59010.0,59400.0,58660.0,58700.0,170500,False,61993.0,,23.759494326724163,-2.4592888002658686,205815.0,1,1,9.045996592844986,7.512776831345826,2.333901192504259,13.969335604770016
SAB,2022-01-26,57400.0,57400.0,56610.0,56890.0,130100,False,59495.0,60330.0,32.11736161566363,-2.9015190305512917,168280.0,1,1,5.835823519071893,7.013534891896643,17.1734927052206,18.650026366672527
SAB,2023-05-29,63380.0,64110.0,63220.0,63260.0,91386,False,66454.0,70175.2,18.342966643285273,-2.0136307311028445,107725.1,1,1,1.8653177363262725,2.6398988302244817,5.295605437875435,1.4068921909579628
SAB,2024-11-19,48770.0,48770.0,47900.0,47900.0,497799,False,48435.5,49121.4,39.82408752517021,-1.9447287615148467,410963.9,1,1,0.7098121085594989,1.9832985386221296,2.1711899791231732,4.175365344467641
SAB,2025-01-17,48630.0,49620.0,48000.0,48180.0,638356,False,49317.0,49221.8,39.117264013127105,-2.0134228187919434,543155.25,1,1,0.5603985056039851,0.7471980074719801,-1.86799501867995,-2.9887920298879203
SHB,2022-01-19,11380.0,11550.0,10490.0,10490.0,7557900,False,11683.5,12229.8,32.67357449072233,-14.016393442622954,11739450.0,1,1,6.48236415633937,14.775977121067681,24.59485224022879,14.204003813155385
SHB,2023-02-27,6110.0,6170.0,6100.0,6100.0,9320466,False,6365.5,6498.4,37.9136373839438,-3.1746031746031744,12005912.2,1,1,1.1475409836065573,1.4754098360655739,1.639344262295082,8.852459016393443
